측정지점,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,총휘발성유기화합물
천안역 지하도상가-1,9.6,6.4,271,23.5,1.2,0.031,39.1,154.0
천안역 지하도상가-2,6.8,5.0,264,26.9,0.6,0.030,26.7,175.2
국민체육센터 목욕장-1,33.6,26.4,960,12.1,3.6,0.008,23.7,394.7
국민체육센터 목욕장-2,31.2,26.3,875,11.8,3.4,0.008,10.3,381.7
한들문화센터 목욕장-1,26.1,8.8,382,5.6,3.0,0.012,6.1,46.4
한들문화센터 목욕장-2,18.4,7.9,368,5.4,3.4,0.012,9.2,380.6
천안역 지하도상가 실내주차장-1,19.0,0.0,302,8.7,3.0,0.062,16.3,193.7
천안역 지하도상가 실내주차장-2,20.4,0.0,224,15.8,3.4,0.040,8.2,159.5
축구센터 실내주차장-1,12.4,0.0,246,3.1,2.9,0.021,9.0,55.2
축구센터 실내주차장-2,13.7,0.0,520,6.8,3.4,0.028,30.9,48.4
